frame, timestamp, confidence, success, x_0, y_0, z_0, x_1, y_1, z_1, x_h0, y_h0, z_h0, x_h1, y_h1, z_h1
1, 0, 0.939744, 1, -0.0296878, 0.180642, -0.983101, -0.232945, 0.217617, -0.947829, 0.0603257, 0.38661, -0.920268, -0.143155, 0.428261, -0.892244
2, 0.0333333, 0.944596, 1, -0.0447919, 0.156881, -0.986601, -0.219392, 0.212574, -0.952197, 0.0438535, 0.378233, -0.924671, -0.130209, 0.435774, -0.890588
3, 0.0666667, 0.947792, 1, -0.0463796, 0.159085, -0.986175, -0.219184, 0.217659, -0.951096, 0.0479802, 0.390701, -0.919266, -0.124743, 0.449668, -0.884442
4, 0.1, 0.948344, 1, -0.0489195, 0.158756, -0.986105, -0.218531, 0.218524, -0.951048, 0.047789, 0.400474, -0.915061, -0.122088, 0.459371, -0.879814
5, 0.133333, 0.948772, 1, -0.0491496, 0.158651, -0.986111, -0.217816, 0.220629, -0.950725, 0.0477474, 0.402556, -0.914149, -0.121251, 0.463143, -0.87795
6, 0.166667, 0.951, 1, -0.0424762, 0.171449, -0.984277, -0.228808, 0.203316, -0.952003, 0.0425421, 0.425382, -0.904014, -0.144474, 0.458164, -0.877048
7, 0.2, 0.946458, 1, -0.0471032, 0.168195, -0.984628, -0.247597, 0.200845, -0.947817, 0.0388209, 0.422721, -0.905428, -0.162617, 0.456082, -0.874954
8, 0.233333, 0.945711, 1, -0.0495473, 0.156785, -0.986389, -0.240187, 0.206816, -0.948439, 0.0233605, 0.421291, -0.906625, -0.167347, 0.469624, -0.866861
9, 0.266667, 0.946782, 1, -0.0467429, 0.161899, -0.9857, -0.192577, 0.2016, -0.96035, 0.0272397, 0.420858, -0.906718, -0.118162, 0.460932, -0.879534
10, 0.3, 0.945309, 1, -0.0433373, 0.162083, -0.985825, -0.189807, 0.199004, -0.961442, 0.0316055, 0.41642, -0.908623, -0.114491, 0.454288, -0.883467
11, 0.333333, 0.941915, 1, -0.0184665, 0.162526, -0.986531, -0.211147, 0.204021, -0.955925, 0.0585948, 0.419743, -0.90575, -0.133661, 0.463668, -0.875869
12, 0.366667, 0.932848, 1, -0.0215797, 0.167054, -0.985712, -0.197931, 0.204322, -0.958684, 0.0560117, 0.426876, -0.902574, -0.11966, 0.467449, -0.875884
13, 0.4, 0.932213, 1, -0.025428, 0.126214, -0.991677, -0.208772, 0.18456, -0.960392, 0.0574723, 0.390479, -0.918816, -0.123981, 0.452191, -0.883262
14, 0.433333, 0.922338, 1, -0.0227538, 0.142116, -0.989588, -0.195304, 0.191152, -0.961934, 0.0647513, 0.408233, -0.910578, -0.106041, 0.461845, -0.880599
15, 0.466667, 0.922914, 1, -0.0102501, 0.153168, -0.988147, -0.190604, 0.202153, -0.960627, 0.0771512, 0.425666, -0.901585, -0.101134, 0.480259, -0.871276
16, 0.5, 0.929909, 1, -0.00536839, 0.171148, -0.985231, -0.207202, 0.222132, -0.952746, 0.0849503, 0.435933, -0.895961, -0.114576, 0.494306, -0.861704
17, 0.533333, 0.924564, 1, 0.0105952, 0.157233, -0.987505, -0.184473, 0.218336, -0.958279, 0.101599, 0.445174, -0.889661, -0.0896874, 0.513857, -0.853175
18, 0.566667, 0.927089, 1, 0.00892765, 0.16894, -0.985586, -0.170295, 0.212318, -0.962248, 0.112725, 0.455222, -0.883214, -0.0633347, 0.50932, -0.858244
19, 0.6, 0.93124, 1, 0.0168756, 0.169436, -0.985397, -0.165988, 0.23137, -0.958601, 0.121154, 0.475486, -0.871341, -0.056627, 0.546829, -0.835327
20, 0.633333, 0.932074, 1, 0.017658, 0.167522, -0.98571, -0.174238, 0.233227, -0.956685, 0.125911, 0.470892, -0.873159, -0.0597921, 0.54822, -0.834194
21, 0.666667, 0.934764, 1, 0.00815023, 0.165087, -0.986245, -0.152594, 0.230147, -0.961118, 0.110332, 0.480118, -0.870238, -0.0432105, 0.554798, -0.830862
22, 0.7, 0.935253, 1, 0.0192533, 0.16194, -0.986613, -0.15175, 0.227639, -0.961849, 0.11746, 0.472772, -0.873321, -0.0455916, 0.550335, -0.833698
23, 0.733333, 0.932402, 1, 0.0216892, 0.159358, -0.986983, -0.160779, 0.238784, -0.95767, 0.114096, 0.454419, -0.883451, -0.0579108, 0.546877, -0.835208
24, 0.766667, 0.926771, 1, 0.048904, 0.173835, -0.98356, -0.157504, 0.247289, -0.956055, 0.140003, 0.463879, -0.874766, -0.0560586, 0.555023, -0.829944
25, 0.8, 0.918362, 1, 0.063651, 0.185295, -0.980619, -0.168572, 0.263661, -0.949772, 0.153755, 0.460245, -0.874376, -0.0668523, 0.560157, -0.825685
26, 0.833333, 0.927473, 1, 0.0477616, 0.183859, -0.981791, -0.168329, 0.27203, -0.947452, 0.13837, 0.457538, -0.878358, -0.0648277, 0.563948, -0.823262
27, 0.866667, 0.934121, 1, 0.0300127, 0.187396, -0.981826, -0.151078, 0.26194, -0.953186, 0.121309, 0.458326, -0.880467, -0.049063, 0.548163, -0.834931
28, 0.9, 0.93543, 1, 0.0369094, 0.192659, -0.980571, -0.184661, 0.276092, -0.943225, 0.135273, 0.45669, -0.879281, -0.0752493, 0.55826, -0.826247
29, 0.933333, 0.933543, 1, 0.0300595, 0.198004, -0.97974, -0.163775, 0.283374, -0.944922, 0.128459, 0.456298, -0.880506, -0.0542464, 0.55652, -0.829061
30, 0.966667, 0.941178, 1, 0.0403431, 0.208167, -0.977261, -0.159821, 0.284407, -0.945288, 0.133784, 0.452257, -0.881797, -0.0560715, 0.545844, -0.836009
31, 1, 0.942981, 1, 0.033961, 0.205432, -0.978082, -0.168517, 0.278968, -0.945399, 0.120585, 0.443844, -0.887954, -0.071917, 0.534897, -0.841851
32, 1.03333, 0.945378, 1, 0.0387037, 0.191621, -0.980706, -0.159296, 0.269011, -0.949872, 0.120676, 0.413317, -0.902555, -0.0664509, 0.509019, -0.858186
